iter	Logloss
0	0.6833724115
1	0.674135073
2	0.664121808
3	0.6542614415
4	0.6464884381
5	0.6403010226
6	0.6328660693
7	0.6248264963
8	0.6162116609
9	0.6085709624
10	0.5995615572
11	0.5924390684
12	0.5853973948
13	0.5785674836
14	0.5716722171
15	0.5647236712
16	0.5574115288
17	0.5501305262
18	0.5445421611
19	0.5372241148
20	0.5301795658
21	0.524581036
22	0.5187360402
23	0.5119806146
24	0.5056918066
25	0.4996177403
26	0.4940882239
27	0.4886569465
28	0.4835700544
29	0.4781418518
30	0.4732347262
31	0.4677905102
32	0.4619920679
33	0.4570572706
34	0.4515511699
35	0.4475068665
36	0.4434252177
37	0.4384258142
38	0.4346260955
39	0.4298052514
40	0.4261997133
41	0.4218382988
42	0.4179150105
43	0.4145305149
44	0.4097603405
45	0.4050478169
46	0.4007285825
47	0.3966886574
48	0.393603913
49	0.3899165725
50	0.3862223542
51	0.3829768411
52	0.3793033891
53	0.3763287649
54	0.3730296523
55	0.3696217128
56	0.366647755
57	0.3635716613
58	0.360917784
59	0.3577878687
60	0.3544426321
61	0.3515875168
62	0.3492481793
63	0.3468432284
64	0.3442684607
65	0.3417550265
66	0.3391323169
67	0.3366589835
68	0.3346494297
69	0.3327221084
70	0.3300728642
71	0.3281774532
72	0.3257683446
73	0.3237653745
74	0.321669928
75	0.3196348536
76	0.317442786
77	0.3152399195
78	0.3137222693
79	0.3118277636
80	0.3097664053
81	0.3083621228
82	0.3068273797
83	0.3052438727
84	0.3030720376
85	0.3007856028
86	0.299045148
87	0.2967646078
88	0.2947604248
89	0.2933260761
90	0.291719502
91	0.2903052744
92	0.2888275966
93	0.2874526281
94	0.2857179257
95	0.2841464688
96	0.2828910344
97	0.2813777175
98	0.2800202999
99	0.2785162526
100	0.2768864805
101	0.2762206133
102	0.2750353107
103	0.273654669
104	0.2722776363
105	0.2710652687
106	0.2696903916
107	0.2681692223
108	0.2669840458
109	0.2659172949
110	0.2647305241
111	0.2639698821
112	0.2625347518
113	0.2614039211
114	0.2599454319
115	0.2584639802
116	0.2573851762
117	0.2563621035
118	0.2553790994
119	0.2546171704
120	0.2537795267
121	0.2527155972
122	0.2516408629
123	0.2507902725
124	0.2498279725
125	0.2488321038
126	0.2478861289
127	0.2471677769
128	0.2464359295
129	0.2454054829
130	0.2445489089
131	0.243665184
132	0.2427490986
133	0.2418559859
134	0.2411737704
135	0.2401746211
136	0.239381451
137	0.2386636547
138	0.2379847019
139	0.236995535
140	0.2362506421
141	0.2355633523
142	0.2347176746
143	0.2340380639
144	0.2334145059
145	0.2324812332
146	0.2319870508
147	0.2315210585
148	0.2306443917
149	0.2301407253
150	0.2296251671
151	0.2289560646
152	0.2280494927
153	0.227424653
154	0.226751623
155	0.2259941066
